Maryland,87.5
Massachusetts,84.1
New York,83.1
Virginia,82.9
Arkansas,81.7
Florida,81.1
Georgia,81
New Jersey,80.8
West Virginia,80.8
Kentucky,80.1
Vermont,79.9
Ohio,79.6
Wisconsin,79.4
Texas,79.4
Louisiana,79
Connecticut,78.9
Rhode Island,78.7
Pennsylvania,78.2
Delaware,78
Indiana,77.8
North Carolina,77.7
Tennessee,77.6
Wyoming,77.5
Michigan,77.3
New Hampshire,77.1
South Carolina,76.9
North Dakota,76.8
Illinois,76.7
Hawaii,76.7
Alabama,76.6
Oklahoma,76.5
Colorado,76.1
Maine,75.9
Iowa,75.9
New Mexico,75.9
California,75.5
Kansas,75.2
Utah,74.6
Minnesota,74.2
Washington,73.8
Missouri,72.8
Oregon,72.7
Arizona,72.2
Montana,72.2
Nebraska,71.2
Alaska,71
Mississippi,71
Idaho,70.9
Nevada,69.7
South Dakota,69.3