California,51914,,
Texas,58099,,
New York,57423,,
Florida,40106,,
Illinois,50328,,
Pennsylvania,45323,,
New Jersey,56477,,
Ohio,42035,,
Virginia,53463,,
North Carolina,42884,,
Georgia,41711,,
Massachusetts,58108,,
Michigan,37616,,
Washington,52403,,
Maryland,51724,,
Indiana,41169,,
Minnesota,50396,,
Arizona,40828,,
Colorado,51940,,
Wisconsin,44105,,
Tennessee,39730,,
Missouri,41117,,
Connecticut,64833,,
Louisiana,47467,,
Alabama,36333,,
Oregon,44447,,
South Carolina,35717,,
Kentucky,37535,,
Oklahoma,42237,,
Iowa,49067,,
Kansas,44310,,
Nevada,47222,,
Utah,41750,,
Arkansas,36483,,
Mississippi,32967,,
Nebraska,49778,,
New Mexico,35952,,
Hawaii,49214,,
West Virginia,35053,,
Delaware,69667,,
New Hampshire,47385,,
Idaho,34250,,
Maine,40923,,
Rhode Island,45000,,
Alaska,65143,,
South Dakota,49875,,
Wyoming,63667,,
Montana,37200,,
North Dakota,47714,,
Vermont,44000,,